Data Source	World Development Indicators																																																													
																																																														
Last Updated Date	24-01-19																																																													
																																																														
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Saudi Arabia	SAU	"Population ages 80 and above, female (% of female population)"	SP.POP.80UP.FE.5Y	0.324822952	0.349996761	0.366905569	0.373778777	0.370874378	0.358882883	0.381727842	0.39609893	0.400513548	0.395096594	0.381038151	0.400090063	0.410923379	0.412405572	0.4058108	0.392754	0.409832547	0.42008299	0.422893304	0.41877736	0.409487097	0.422195492	0.427434404	0.425510812	0.41763759	0.405081423	0.419448497	0.428409591	0.43133345	0.427348397	0.416466393	0.428001962	0.433617624	0.435631805	0.436495764	0.436930533	0.460791727	0.481010769	0.497422018	0.510173528	0.519646252	0.55075277	0.575280948	0.592466258	0.6018056	0.603451285	0.619579143	0.628125093	0.628864859	0.621593715	0.606899864	0.612338236	0.611028271	0.604488085	0.594172479	0.581004545	0.598635521	0.611274333	
Saudi Arabia	SAU	"Population ages 75-79, male (% of male population)"	SP.POP.7579.MA.5Y	0.533428841	0.537691738	0.538783377	0.537820271	0.535484774	0.532475917	0.532272183	0.529589551	0.525917278	0.521779622	0.51716543	0.511421468	0.50472374	0.498856558	0.494281973	0.490472593	0.479529157	0.468190022	0.45818502	0.450149474	0.444043037	0.431059236	0.417737816	0.404801429	0.392720576	0.381954639	0.375802309	0.36842104	0.360933117	0.356316875	0.358339535	0.371223349	0.384612933	0.398423188	0.412919458	0.428516512	0.447590775	0.466388043	0.483302539	0.496659072	0.506683793	0.506954762	0.503930948	0.499021135	0.493837382	0.489441311	0.485227376	0.480233084	0.474887126	0.469774972	0.465766267	0.462308144	0.458567532	0.455571241	0.45512269	0.45862297	0.470622588	0.486825268	
Saudi Arabia	SAU	"Population ages 75-79, female (% of female population)"	SP.POP.7579.FE.5Y	0.642223346	0.648027482	0.650786019	0.652418729	0.653814803	0.65579168	0.657263448	0.656814386	0.656196521	0.655736991	0.655262749	0.651314859	0.646571231	0.643447259	0.642428583	0.642777639	0.637502388	0.632908956	0.630908176	0.631725682	0.63439386	0.6214237	0.607409903	0.593690493	0.580832185	0.569289536	0.560380103	0.549672756	0.539830012	0.535884294	0.543035418	0.557313882	0.574275445	0.592540937	0.61094864	0.62919963	0.644251532	0.659296477	0.672342455	0.680928048	0.684858921	0.680913783	0.673428167	0.664491451	0.655707432	0.648052155	0.631853781	0.615753423	0.60201126	0.593554076	0.592072481	0.589611981	0.590777193	0.594898389	0.601651426	0.61117776	0.625282255	0.642652742	
Saudi Arabia	SAU	"Population ages 70-74, male (% of male population)"	SP.POP.7074.MA.5Y	1.014474745	1.00649703	0.998748203	0.992029458	0.986684991	0.98337235	0.971721338	0.960399502	0.949779424	0.940511637	0.933374568	0.915604227	0.898777968	0.883079663	0.869825665	0.860804629	0.837153648	0.818248338	0.802530256	0.788440778	0.775759511	0.743364738	0.713512899	0.687538985	0.666260359	0.649425079	0.638802513	0.637587833	0.646818858	0.666776014	0.697575648	0.716510481	0.735566709	0.754031798	0.770293963	0.783477949	0.790588167	0.796341462	0.80116499	0.805905768	0.812434241	0.799258659	0.786605846	0.776071945	0.768876711	0.765518679	0.755139932	0.746598874	0.740887797	0.739891065	0.745702631	0.748665304	0.760316442	0.775751643	0.788154286	0.796207703	0.796125195	0.789263065	
Saudi Arabia	SAU	"Population ages 70-74, female (% of female population)"	SP.POP.7074.FE.5Y	1.169913176	1.163353415	1.157880034	1.154148971	1.152883091	1.154460092	1.143047592	1.132935663	1.124553543	1.118279367	1.114979903	1.101026678	1.088370833	1.077099455	1.068317111	1.063982315	1.052379358	1.044856672	1.03897129	1.032343029	1.024238155	0.988521089	0.953733874	0.922462101	0.89763208	0.880372028	0.872601528	0.878446817	0.898062412	0.930019756	0.97350934	0.985949462	0.997987037	1.00811993	1.014057414	1.015560165	1.003104282	0.988836637	0.974006701	0.959638669	0.946728565	0.924935969	0.90349608	0.885982014	0.876317654	0.876075048	0.867162177	0.865406014	0.87014423	0.88015778	0.894141961	0.898180791	0.908613622	0.921208657	0.929850088	0.932500915	0.928598103	0.917795497	
Saudi Arabia	SAU	Population ages 65 and above (% of total)	SP.POP.65UP.TO.ZS	3.621817876	3.620914466	3.613910495	3.601600209	3.584616595	3.564285913	3.547712117	3.526784047	3.501967337	3.473177147	3.440123679	3.401576858	3.362020077	3.323873136	3.288539684	3.256073099	3.20225595	3.151427109	3.103905141	3.058884457	3.016713859	2.929815106	2.844439939	2.763571104	2.689041949	2.62023646	2.621397977	2.64393494	2.686202638	2.744012038	2.814541599	2.841675713	2.862119683	2.879547586	2.895922635	2.911158352	2.929695606	2.947223912	2.964950309	2.982856458	3.00042207	2.991504907	2.980401809	2.969956454	2.963895391	2.965461644	2.96202329	2.966609061	2.975031196	2.980362089	2.980903734	2.970810276	2.960198831	2.961280738	2.989480166	3.053302289	3.163009357	3.295418607	
Saudi Arabia	SAU	"Population ages 65 and above, total"	SP.POP.65UP.TO	148007	152762	157670	162672	167667	172641	177925	183211	188668	194485	200779	207530	214964	223168	232149	241884	250372	259413	269414	280794	293846	303724	314256	325102	335726	345586	363562	384049	407100	432345	459525	479329	497403	514280	530275	545430	560497	574873	589505	605353	623017	637298	652896	669916	688480	708913	728015	749145	771746	794609	817533	838898	861014	886740	920064	963535	1020883	1085452	
Saudi Arabia	SAU	"Population ages 65 and above, male (% of total)"	SP.POP.65UP.MA.ZS	3.372145435	3.366659904	3.3551904	3.337626043	3.314457325	3.286622192	3.266644408	3.241348319	3.211183426	3.17650402	3.137183111	3.09092636	3.044509703	2.999965867	2.958819965	2.921229403	2.85168445	2.78787135	2.730046247	2.677344533	2.629578422	2.542328156	2.45796931	2.378542384	2.305769459	2.239001576	2.237161166	2.255132935	2.29160914	2.343568651	2.408704337	2.45020532	2.48501016	2.515925399	2.543927487	2.568617091	2.606089264	2.642986892	2.680767882	2.718175655	2.752275731	2.74028346	2.725774627	2.710160789	2.69679281	2.690175984	2.686748138	2.691953561	2.702300284	2.711040866	2.716737217	2.71159074	2.707226723	2.717687079	2.760272175	2.844188966	2.967395535	3.113749583	
Saudi Arabia	SAU	"Population ages 65 and above, male"	SP.POP.65UP.MA.IN	69203	71354	73601	75885	78138	80333	82772	85185	87662	90319	93224	96326	99806	103712	108073	112895	116683	120854	125591	131069	137394	142109	147100	152225	157309	162130	171215	181698	193534	206465	220275	231547	241715	250978	259408	267006	275351	283216	291394	300633	311261	318658	327392	337045	347209	357927	368582	380166	392564	405287	418395	430662	443601	459268	480449	508902	544711	585320	
Saudi Arabia	SAU	"Population ages 65 and above, female (% of total)"	SP.POP.65UP.FE.ZS	3.873494044	3.878019365	3.876364947	3.86957332	3.859438438	3.847102805	3.835051015	3.819684017	3.80149218	3.779793694	3.754461473	3.72699256	3.698085738	3.66980167	3.64352053	3.619099887	3.588543578	3.558040564	3.527428254	3.496105868	3.464618264	3.384116255	3.303033277	3.224907372	3.152211056	3.084328356	3.094108367	3.126886041	3.180752591	3.250102324	3.331271655	3.337587559	3.337614186	3.336224777	3.336271076	3.338051441	3.329594092	3.319998216	3.310306858	3.301925461	3.297273023	3.295286586	3.291438525	3.290293447	3.2962984	3.31099202	3.309041583	3.314358946	3.321689473	3.324012117	3.319246626	3.304436403	3.287304385	3.277644366	3.288448429	3.327074507	3.420919116	3.536467695	
